Date,IN_CPI_YoY,IN_IIP_YoY,IN_CLI_OECD,IN_Business_Confidence,IN_Repo_Rate,IN_Real_Repo_Rate,IN_10Y_Yield,US_10Y_Yield,US_Yield_Curve_Spread,US_Credit_Spread,USDINR,Oil_Brent_USD,US_VIX,Nifty50_MoM_Return,SP500_MoM_Return
2005-01-31,,57.161530,99.909740,102.050900,6.000000,,,4.221500,0.999000,0.660000,43.660000,44.509000,12.820000,,
2005-02-28,,57.882140,99.945550,101.877400,6.000000,,,4.165263,0.780526,0.620000,43.560001,45.475000,12.080000,,1.890335
2005-03-31,,58.861610,99.984540,101.925300,6.000000,,,4.497727,0.770909,0.660000,43.610001,53.104545,14.020000,,-1.911766
2005-04-30,,56.361870,100.024900,102.106700,6.000000,,,4.340952,0.687143,0.720000,43.380001,51.883810,15.310000,,-2.010858
2005-05-31,,56.697110,100.064700,102.320900,6.000000,,,4.144286,0.500476,0.860000,43.619999,48.645455,13.290000,,2.995205
2005-06-30,,57.686860,100.102500,102.505800,6.000000,,,3.998182,0.357727,0.900000,43.459999,54.354545,12.040000,,-0.014271
2005-07-31,,56.588780,100.138900,102.657700,6.000000,,,4.177500,0.306500,0.890000,43.349998,57.520000,11.570000,,3.596829
2005-08-31,,58.069180,100.175200,102.779100,6.000000,,,4.262609,0.218261,0.870000,43.980000,63.983478,12.600000,,-1.122210
2005-09-30,,57.778930,100.212700,102.859800,6.000000,,,4.199048,0.252857,0.900000,43.930000,62.908182,11.920000,,0.694902
2005-10-31,,59.006670,100.252100,102.888500,6.000000,,,4.463500,0.192500,0.950000,45.040001,58.538571,15.320000,,-1.774078
2005-11-30,,58.171990,100.293200,102.830700,6.000000,,,4.535000,0.118500,0.970000,45.860001,55.241818,12.060000,,3.518610
2005-12-31,,60.263030,100.335900,102.658200,6.000000,,,4.467143,0.062857,0.950000,44.970001,56.855714,12.070000,,-0.095235
2006-01-31,4.372621,61.252280,100.380200,102.465900,6.000000,1.627379,,4.416000,0.020500,0.950000,43.900002,62.985238,12.950000,,2.546677
2006-02-28,4.571434,61.554990,100.426400,102.386300,6.000000,1.428566,,4.568947,-0.099474,0.920000,44.250000,60.210000,12.340000,,0.045316
2006-03-31,4.571434,62.726170,100.475500,102.525300,6.000000,1.428566,,4.723913,-0.010000,0.880000,44.528000,62.064783,11.390000,,1.109581
2006-04-30,4.652819,62.039100,100.529700,102.783300,6.000000,1.347181,,4.990526,0.101579,0.840000,44.901001,70.260000,11.590000,,1.215565
2006-05-31,5.925414,62.788990,100.590800,103.038500,6.000000,0.074586,,5.110000,0.141818,0.800000,46.160000,69.776957,16.440001,,-3.091692
2006-06-30,7.269132,62.897130,100.660100,103.209900,6.000000,-1.269132,,5.106364,-0.015455,0.890000,45.805000,68.555909,13.080000,,0.008660
2006-07-31,6.332181,64.997830,100.736800,103.323600,6.000000,-0.332181,,5.087500,-0.031000,0.910000,46.419998,73.674286,14.950000,,0.508588
2006-08-31,5.938365,63.912740,100.819500,103.420700,6.000000,0.061635,,4.876522,-0.026957,0.910000,46.476002,73.230435,12.310000,,2.127419
2006-09-30,6.398643,65.533790,100.906900,103.523700,6.000000,-0.398643,,4.719000,-0.050000,0.920000,45.715000,61.958571,11.980000,,2.456630
2006-10-31,6.917449,64.423360,100.998700,103.618200,6.000000,-0.917449,,4.729048,-0.066667,0.910000,44.834999,57.808182,11.100000,,3.150800
2006-11-30,5.950752,70.065360,101.095100,103.666000,6.000000,0.049248,,4.595238,-0.145238,0.870000,44.550999,58.761364,10.910000,,1.646666
2006-12-31,6.528666,68.846890,101.195900,103.625600,6.000000,-0.528666,,4.564500,-0.109000,0.900000,44.040001,62.472105,11.560000,,1.261578
2007-01-31,6.722692,69.809100,101.299400,103.520400,6.000000,-0.722692,,4.759524,-0.116667,0.940000,44.005001,53.681429,10.420000,,1.405904
2007-02-28,7.563026,70.207220,101.403200,103.369300,6.000000,-1.563026,,4.722632,-0.126316,0.890000,44.015999,57.555789,15.420000,,-2.184618
2007-03-31,6.722692,71.706610,101.504400,103.183300,6.000000,-0.722692,,4.564545,-0.009091,0.970000,43.044998,62.050455,14.640000,,0.997998
2007-04-30,6.666670,72.583760,101.599800,103.006700,6.000000,-0.666670,,4.693810,0.027619,0.920000,40.969002,67.485789,14.220000,,4.329069
2007-05-31,6.611573,74.702070,101.686100,102.895600,6.000000,-0.611573,,4.746364,-0.020000,0.920000,40.546001,67.212273,13.050000,,3.254923
2007-06-30,5.691062,75.157010,101.759900,102.886900,6.000000,0.308938,,5.102857,0.122381,0.910000,40.529999,71.045714,16.230000,,-1.781632
2007-07-31,6.451616,75.267150,101.818100,102.900800,6.000000,-0.451616,,5.004286,0.185238,0.920000,40.397999,76.930000,23.520000,,-3.198188
2007-08-31,7.258066,75.490850,101.857200,102.830300,6.000000,-1.258066,,4.674783,0.361739,0.860000,40.575001,70.760870,23.379999,,1.286357
2007-09-30,6.400004,74.422500,101.872700,102.607000,6.000000,-0.400004,,4.521579,0.510000,0.850000,39.575001,77.173158,18.000000,,3.579401
2007-10-31,5.511795,76.697700,101.859000,102.351300,6.000000,0.488205,,4.527727,0.560000,0.820000,39.174000,82.340000,18.530001,17.511223,1.482234
2007-11-30,5.511795,77.303140,101.810500,102.237700,6.000000,0.488205,,4.148500,0.812000,0.960000,39.455002,92.414286,22.870001,-2.337029,-4.404342
2007-12-31,5.511795,78.402400,101.723800,102.393200,6.000000,0.488205,,4.097500,0.980500,1.160000,39.244999,90.926842,22.500000,6.522061,-0.862851
2008-01-31,5.511795,79.281040,101.597800,102.651900,6.000000,0.488205,,3.744286,1.268571,1.210000,39.313999,92.178095,26.200001,-16.309091,-6.116343
2008-02-29,5.468755,79.271010,101.434000,102.777400,6.000000,0.531245,,3.737500,1.764500,1.290000,39.910000,94.986500,26.540001,1.674952,-3.476119
2008-03-31,7.874014,80.159970,101.235600,102.580900,6.000000,-1.874014,,3.510000,1.893000,1.380000,39.889000,103.635500,25.610001,-9.361539,-0.595962
2008-04-30,7.812498,79.952000,101.006600,102.172500,6.000000,-1.812498,,3.675000,1.627727,1.420000,40.386002,109.071364,20.790001,9.111837,4.754670
2008-05-31,7.751936,80.186290,100.751700,101.671000,6.000000,-1.751936,,3.880000,1.434286,1.360000,42.530998,122.797143,17.830000,-5.726007,1.067418
2008-06-30,7.692306,81.272930,100.476800,101.124800,6.000000,-1.692306,,4.099524,1.325714,1.390000,42.852001,132.322381,23.950001,-17.033532,-8.596238
2008-07-31,8.333350,79.207310,100.188700,100.526600,6.000000,-2.333350,,4.007727,1.434545,1.490000,42.433998,132.718182,22.940001,7.236642,-0.985937
2008-08-31,9.022571,80.130970,99.895390,99.802590,6.000000,-3.022571,,3.885714,1.465238,1.510000,43.625000,113.243333,20.650000,0.624281,1.219046
2008-09-30,9.774449,82.155180,99.606330,98.853870,6.000000,-3.774449,,3.686190,1.610000,1.660000,46.601002,97.234762,39.389999,-10.064221,-9.079143
2008-10-31,10.447772,79.676750,99.332580,97.723630,6.000000,-4.447772,,3.814091,2.201818,2.600000,49.403000,71.582174,59.889999,-26.410279,-16.942452
2008-11-30,10.447772,78.960450,99.086240,96.442830,6.000000,-4.447772,,3.526667,2.313889,3.090000,49.869999,52.452632,55.279999,-4.522456,-7.484904
2008-12-31,9.701505,76.891810,98.879840,95.057370,6.000000,-3.701505,,2.416364,1.595455,3.380000,48.064999,39.946818,40.000000,7.406257,0.782158
2009-01-31,10.447772,75.375240,98.725720,93.805910,6.000000,-4.447772,,2.517500,1.710500,3.090000,48.733002,43.439500,44.840000,-2.850476,-8.565734
2009-02-28,9.629621,76.243260,98.633030,93.085200,6.000000,-3.629621,,2.870000,1.894737,2.810000,50.650002,43.324737,46.349998,-3.866361,-10.993120
2009-03-31,8.029193,75.690120,98.604620,93.281570,6.000000,-2.029193,,2.819545,1.888182,2.920000,50.784000,46.540455,44.139999,9.310154,8.540446
2009-04-30,8.695646,78.059140,98.636340,94.071510,6.000000,-2.695646,,2.927143,2.000000,3.000000,49.188000,50.181905,36.500000,14.995283,9.392508
2009-05-31,8.633088,78.975250,98.718540,95.149560,6.000000,-2.633088,,3.293000,2.363500,2.520000,46.969002,57.302500,28.920000,28.066042,5.308145
2009-06-30,9.285726,79.588470,98.839840,96.362490,6.000000,-3.285726,,3.721818,2.537727,1.890000,47.800999,68.609545,26.350000,-3.548030,0.019583
2009-07-31,11.888095,80.455800,98.989730,97.555520,6.000000,-5.888095,,3.562273,2.543182,1.680000,47.625999,64.435455,25.920000,8.048055,7.414173
2009-08-31,11.724140,84.522790,99.159650,98.575340,6.000000,-5.724140,,3.587143,2.471905,1.320000,48.750000,72.508571,26.010000,0.553223,3.356019
2009-09-30,11.643838,83.588320,99.343030,99.293040,6.000000,-5.643838,,3.401905,2.445714,1.180000,47.810001,67.646190,25.610001,9.048499,3.572335
2009-10-31,11.486489,81.635930,99.535270,99.800270,6.000000,-5.486489,,3.387619,2.438571,1.140000,46.917999,72.769545,30.690001,-7.322062,-1.976200
2009-11-30,13.513511,84.062580,99.733150,100.166300,6.000000,-7.513511,,3.402632,2.599474,1.130000,46.458000,76.662000,24.510000,6.812827,5.736406
2009-12-31,14.965979,84.272390,99.934320,100.405300,6.000000,-8.965979,,3.590000,2.715455,1.110000,46.400002,74.456364,21.680000,3.345115,1.777057
2010-01-31,16.216223,85.803340,100.136600,100.585500,6.000000,-10.216223,,3.733158,2.804211,0.990000,46.098000,76.167368,24.620001,-6.133377,-3.697425
2010-02-28,14.864858,86.705400,100.338000,100.760900,6.000000,-8.864858,,3.691053,2.834211,0.990000,45.900002,73.752105,19.500000,0.824449,2.851369
2010-03-31,14.864858,86.647500,100.536500,100.963700,6.000000,-8.864858,,3.727391,2.768696,1.000000,44.799999,78.827391,17.590000,6.639179,5.879643
2010-04-30,13.333331,88.029760,100.729900,101.199600,6.000000,-7.333331,,3.846818,2.786364,0.960000,44.250000,84.817619,22.049999,0.550569,1.475923
2010-05-31,13.907298,85.583400,100.915800,101.477100,6.000000,-7.907298,,3.420000,2.589500,1.090000,46.358002,75.945500,32.070000,-3.632061,-8.197584
2010-06-30,13.725485,85.473830,101.090800,101.803900,6.000000,-7.725485,,3.204091,2.479545,1.350000,46.400002,74.760909,34.540001,4.447245,-5.388244
2010-07-31,11.250001,88.688860,101.251000,102.140400,6.000000,-5.250001,,3.011429,2.394762,1.290000,46.360001,75.580000,23.500000,1.037178,6.877785
2010-08-31,9.876531,88.033060,101.391600,102.428300,6.000000,-3.876531,,2.698636,2.178182,1.170000,46.873001,77.039545,26.049999,0.648331,-4.744918
2010-09-30,9.815939,88.798970,101.508300,102.609200,6.000000,-3.815939,,2.647619,2.167619,1.130000,44.689999,77.840476,23.700001,11.616139,8.755110
2010-10-31,9.696974,91.138980,101.597300,102.691700,6.000000,-3.696974,,2.540000,2.164000,1.040000,44.419998,82.664762,21.200001,-0.203153,3.685599
2010-11-30,8.333341,89.536690,101.655400,102.660600,6.000000,-2.333341,,2.763000,2.309000,1.050000,45.799999,85.274762,23.540001,-2.575735,-0.229025
2010-12-31,9.467460,91.170190,101.680700,102.484600,6.000000,-3.467460,,3.290909,2.672727,1.080000,44.810001,91.446818,17.750000,4.636086,6.530004
2011-01-31,9.302314,92.239470,101.672200,102.237800,6.000000,-3.302314,,3.394000,2.779500,1.050000,45.838001,96.523500,19.530001,-10.246965,2.264557
2011-02-28,8.823536,92.426980,101.630400,101.992900,6.000000,-2.823536,,3.576316,2.803684,0.930000,45.250000,103.716316,18.350000,-3.135725,3.195656
2011-03-31,8.823536,94.704830,101.557100,101.786100,6.000000,-2.823536,,3.414348,2.716957,0.900000,44.610001,114.643478,17.740000,9.384522,-0.104731
2011-04-30,9.411769,92.845660,101.455900,101.579000,6.000000,-3.411769,,3.455000,2.720500,0.860000,44.299999,123.258889,14.750000,-1.444183,2.849538
2011-05-31,8.720920,90.504120,101.331400,101.304600,6.000000,-2.720920,,3.168571,2.613333,0.820000,45.083000,114.989048,15.450000,-4.807373,-1.350095
2011-06-30,8.620695,93.747110,101.189900,100.912700,6.000000,-2.620695,,3.002273,2.591818,0.760000,44.759998,113.833182,16.520000,3.184663,-1.825746
2011-07-31,8.426972,92.089450,101.038500,100.482700,6.000000,-2.426972,,3.003000,2.596500,0.830000,44.009998,116.973500,25.250000,-2.928780,-2.147443
2011-08-31,8.988768,90.649550,100.884500,100.131300,6.000000,-2.988768,,2.303043,2.072609,0.990000,45.939999,110.219545,31.620001,-8.774170,-5.679111
2011-09-30,10.055867,91.040170,100.734000,99.958140,6.000000,-4.055867,,1.975238,1.763810,1.180000,48.860001,112.833810,42.959999,-1.154769,-7.176199
2011-10-31,9.392267,86.542740,100.590500,99.912590,6.000000,-3.392267,,2.152000,1.871500,1.390000,48.627998,109.550000,29.959999,7.755021,10.772304
2011-11-30,9.340661,95.132750,100.455900,99.941830,6.000000,-3.340661,,2.013500,1.760000,1.270000,51.903000,110.768095,27.799999,-9.284540,-0.505872
2011-12-31,6.486482,93.924160,100.331000,100.011200,6.000000,-0.486482,8.560000,1.978095,1.720952,1.320000,53.000000,107.870500,23.400000,-4.299418,0.853276
2012-01-31,5.319162,92.952300,100.215800,100.049900,6.000000,0.680838,8.235000,1.966500,1.726000,1.380000,52.493000,110.686000,19.440001,12.433238,4.358306
2012-02-29,7.567574,93.062040,100.110200,99.962140,7.750000,0.182426,8.192500,1.967500,1.689500,1.290000,49.068001,119.327000,18.430000,3.576481,4.058946
2012-03-31,8.648652,92.267270,100.013700,99.669570,9.500000,0.851348,8.374000,2.172727,1.828182,1.240000,51.338001,125.445455,15.500000,-1.664755,3.133231
2012-04-30,10.215053,90.605340,99.925920,99.279370,9.250000,-0.965053,8.587500,2.052857,1.760952,1.230000,52.537998,119.421667,17.150000,-0.895089,-0.749745
2012-05-31,10.160427,92.749280,99.846370,98.927560,9.000000,-1.160427,8.565000,1.803182,1.518182,1.270000,56.228001,110.339524,24.059999,-6.171697,-6.265073
2012-06-30,10.052909,91.551380,99.774170,98.719730,9.000000,-1.052909,8.204000,1.622381,1.330476,1.380000,56.798000,95.155714,17.080000,7.202110,3.955498
2012-07-31,9.844559,90.965100,99.707950,98.633440,9.000000,-0.844559,8.096667,1.526667,1.278571,1.470000,55.423000,102.618571,18.930000,-0.945271,1.259757
2012-08-31,10.309276,91.213310,99.646290,98.646230,9.000000,-1.309276,8.196000,1.678261,1.409565,1.430000,55.627998,113.356087,17.469999,0.564161,1.976337
2012-09-30,9.137057,89.841030,99.588120,98.742130,9.000000,-0.137057,8.175000,1.723158,1.467895,1.350000,53.007999,112.863684,15.730000,8.458682,2.423615
2012-10-31,9.595958,92.141840,99.533140,98.819010,9.000000,-0.595958,8.147500,1.746190,1.469048,1.110000,53.958000,111.710870,18.600000,-1.465811,-1.978941
2012-11-30,9.547737,91.129280,99.481510,98.735510,9.000000,-0.547737,8.202540,1.654000,1.386000,1.010000,54.838001,109.058571,15.870000,4.629249,0.284672
2012-12-31,11.167521,91.372570,99.433560,98.376990,9.000000,-2.167521,8.137500,1.719000,1.462000,0.980000,54.752998,109.494000,18.020000,0.429433,0.706823
2013-01-31,11.616154,91.366180,99.389530,97.881840,9.000000,-2.616154,7.872500,1.914762,1.649524,0.930000,53.303001,112.960000,14.280000,2.195558,5.042810
2013-02-28,12.060293,91.151140,99.349660,97.424510,8.750000,-3.310293,7.837500,1.984211,1.716842,0.950000,53.858002,116.050526,15.510000,-5.662210,1.106065
2013-03-31,11.442779,92.902530,99.314300,97.135280,8.650000,-2.792779,7.910000,1.957500,1.701500,0.920000,54.388000,108.474000,12.700000,-0.184435,3.598772
2013-04-30,10.243912,93.641290,99.283970,96.982140,8.500000,-1.743912,7.830000,1.759091,1.526818,0.860000,54.228001,102.248182,13.520000,4.358086,1.808577
2013-05-31,10.679620,93.184520,99.259220,96.938130,8.250000,-2.429620,7.502000,1.928182,1.677727,0.840000,56.377998,102.558636,16.299999,0.940103,2.076281
2013-06-30,11.057685,90.843380,99.240490,97.012800,8.250000,-2.807685,7.402150,2.300000,1.966500,0.920000,60.188000,102.919500,16.860001,-2.401457,-1.499930
2013-07-31,10.849063,93.663830,99.227810,97.174300,9.250000,-1.599063,7.724375,2.582273,2.241364,0.980000,60.807999,107.933182,13.450000,-1.715111,4.946208
2013-08-31,10.747670,95.038080,99.220850,97.417570,10.250000,-0.497670,8.328000,2.737273,2.380909,0.880000,67.389999,111.280455,17.010000,-4.705681,-3.129802
2013-09-30,10.697681,95.510480,99.218840,97.745650,9.875000,-0.822681,8.602500,2.809500,2.405500,0.830000,62.910000,111.596500,16.600000,4.815600,2.974952
2013-10-31,11.059900,93.931290,99.220480,98.069220,9.125000,-1.934900,8.572500,2.615909,2.280455,0.780000,61.320000,109.076522,13.750000,9.831223,4.459575
2013-11-30,11.467893,94.502710,99.224430,98.264940,8.750000,-2.717893,8.863040,2.718421,2.414737,0.750000,62.412998,107.792000,13.700000,-1.953435,2.804947
2013-12-31,9.132418,94.741450,99.229860,98.238300,8.750000,-0.382418,8.875368,2.901905,2.561905,0.760000,61.779999,110.756667,13.720000,2.070885,2.356279
2014-01-31,7.239822,95.966280,99.236880,98.114380,8.800000,1.560178,8.764540,2.858095,2.464286,0.700000,62.310001,108.117727,18.410000,-3.402602,-3.558291
2014-02-28,6.726462,96.028340,99.245930,98.054390,9.000000,2.273538,8.812500,2.709474,2.382632,0.650000,62.020000,108.900526,14.000000,3.078253,4.311703
2014-03-31,6.696433,95.873860,99.257130,98.169620,9.000000,2.303567,8.837500,2.723333,2.324286,0.680000,59.840000,107.480952,13.880000,6.806650,0.693217
2014-04-30,7.079649,97.412080,99.269610,98.371460,9.000000,1.920351,8.987500,2.705238,2.288095,0.660000,60.417999,107.755238,13.410000,-0.116349,0.620079
2014-05-31,7.017547,97.283420,99.282080,98.533290,9.000000,1.982453,8.752920,2.559048,2.170000,0.600000,58.900002,109.539091,11.400000,7.967718,2.103028
2014-06-30,6.493511,98.173920,99.293330,98.565970,9.000000,2.506489,8.633600,2.598571,2.146190,0.550000,60.037998,111.795238,11.570000,5.275277,1.905833
2014-07-31,7.234033,98.973530,99.302730,98.533110,9.000000,1.765967,8.655900,2.542273,2.035909,0.570000,60.250000,106.768182,16.950001,1.444549,-1.507983
2014-08-31,6.751047,98.135380,99.310250,98.526100,9.000000,2.248953,8.560640,2.420000,1.947619,0.610000,60.610001,101.608095,12.090000,3.018278,3.765530
2014-09-30,6.302514,98.955780,99.316570,98.604490,9.000000,2.697486,8.491150,2.534286,1.967619,0.690000,61.553001,97.091429,16.309999,0.131371,-1.551384
2014-10-31,4.979250,94.477840,99.323040,98.710620,9.000000,4.020750,8.401880,2.304091,1.858636,0.770000,61.432999,87.425217,14.030000,4.487249,2.320146
2014-11-30,4.115214,101.362700,99.331420,98.750850,9.000000,4.884786,8.186850,2.325556,1.798333,0.870000,61.853001,79.437895,13.330000,3.196869,2.453359
2014-12-31,5.857735,98.689780,99.343690,98.648980,9.000000,3.142265,7.955925,2.207273,1.571818,0.950000,63.377998,62.335000,19.200001,-3.557766,-0.418859
